natural_command,bash_command
Make a playlist out of all the mp3 and ogg files in the home directory,find ~ -type f \ > mynewplaylist.m3u
recursively convert all symlinks under the current working folder to its regular file,"find . -type l | while read f; do /bin/cp -rf --remove-destination -f $(find . -name $) ""${f}"";done;"
Show the list of files that are not owned by user wnj or are not newer than file `ttt',find / \! \( -newer ttt -user wnj \) -print
Find all files that are set user ID to root,find . -user root -perm -4000 -print
"display all the configuration files in ""/etc"" folder along with their last access and modified timestamps","find /etc -name ""*.conf"" -printf ""%f accessed %AF %Ar, modified %TF %Tr\n"""
Print your/dir if it's an empty directory,find your/dir -prune -empty -type d
"start from current directory, skip the directory src/emacs and all files and directories under it, and print the names of the other files found",find . -wholename './src/emacs' -prune -o -print
Print the current directory,find -mindepth 0 -maxdepth 0
"display all files in the file system which are bigger than 50MB and having size ""filename"" in them","find / -size +50M -iname ""filename"""
Find all files/directories named 'foo' in the entire filesystem,find / -name foo
Find all *.rb (regular) files under current directory and count their line numbers,"find . -name ""*.rb"" -type f -exec wc -l \{\} \;"
Search for non-empty files,find . ! -size 0k
display the contents of all the files in the current folder which start with test ( case insensitive search ),find . -iname '*test*' -exec cat {} \;
"Search for all files in the current directory recursively whose names contain ""linkin park"", ignoring the case","find . -iname ""*linkin park*"""
"Create archive ""backup1.tar"" of all subdirectories of the current directory","find . -mindepth 1 -maxdepth 1 -type d | awk 'BEGIN {FS=""./""}; {print $2}' | xargs -d '\n' tar czf backup1.tar"
Find regular files whose names end in .JPG,"find . -type f -name ""*.JPG"""
Find all foo.mp4 files in the current directory tree and print the pathnames of their parent directories,find . -name foo.mp4 | sed 's|/[^/]*$||'
Find all files/directories named 'document' in the entire filesystem,find / -name document -print
Find files that have a modification time of a day ago,find / -mtime 1
find all '*.c' files under $HOME directory which context contains sprintf,find $HOME -name '*.c' -print | xargs grep -l sprintf
display a long listing of all fles in current folder which have been modified in the last 60 minutes,find . -mmin -60 -ls
"List all files/directories under current directory matching the posix-egrep type regex "".+\.$"" in their names","find . -regextype posix-egrep -regex "".+\.$"" -print0 | xargs -0 -n 1 ls"
"Rename the *.so files in the current directory tree prepending their names with ""lib""","find . -name ""*.so"" -printf ""mv '%h/%f' '%h/lib%f'\n"" | bash"
Remove all files that end with 'prefs copy' in their names under '/mnt/zip' directory tree,"find /mnt/zip -name ""*prefs copy"" -print | xargs rm"
Print the largest 20 files under current directory,find . -type f -printf '%k %p\n' |sort -n |tail -n 20
Show directory sizes in KB and sort to give the largest at the end,du -sk $(find . -type d) | sort -n -k 1
Find deb packages in the current directory recursively,"find . -type f -and -iname ""*.deb"""
"Search the files from the current directory tree for ""foo""",find . -exec grep -l foo {} \;
Prints total number of lines of all *.php files in a current folder and subfolders.,"cat `find . -name ""*.php""` | wc -l"
find all the files  in the folder /opt which have been changed in the last 120 minutes,find /opt -cmin -120
List all regular files in the current directory tree,find . -type f -exec ls -l '{}' \;
Search everywhere for hidden file `.profile',find / -name .profile
long list al the files in the current directory which have only read permission to the group,find . -perm 040 -type f -exec ls -l {} \;
"Find all regular files that were modified more than 60 days ago under '/path-to-directory' directory tree, sort them according to timestamp and print the filenames preceded with the timestamps","find /path-to-directory -type f -mtime +60 -printf ""%T@ %p\n"" | sort"
Compress files excluding *.Z files,"find . \! -name ""*.Z"" -exec compress -f {} \;"
Search the current directory tree for directories that can be opened by noone,find -type d ! -perm -111
list all .c or .sh regular files.,find . -type f \
"Make a list of all files in the current directory tree, except *.png and *.class, and view it in the vim editor",find . | grep -E -v '\.png$|\.class$' | vim -
Print the paths of the directories from the paths expanded by the glob pattern /path/to/directory/*,find /path/to/directory/* -maxdepth 0 -type d
Find all regular files with '.txt' extension excluding 'README.txt' files under current directory tree,"find . -type f -name ""*.txt"" ! -name README.txt -print"
"find all "".flac"" files starting with ""cmn-"" and search for files having CJK characters using unicodes",find . -name 'cmn-*\.flac' -print | grep -P './cmn-[\x4e00-\x9fa5]\.flac'
display all files in the current folder expect text files,"find . -name ""*.txt"" -prune -o -print"
Find all the files whose permissions are 777,find . -type f -perm 0777 -print
Find file `foo.bar' and delete it,"find /home -name foo.bar -type f -exec rm -f ""{}"" ';'"
Find recursively the latest modified file in the current directory,"find . -type f | sed 's/.*/""&""/' | xargs ls -E | awk '{ print $6,"" "",$7 }' | sort | tail -1"
Remove all files that were older than 3 days,find . -type f -mtime +3 –exec rm –f {} \;
"Counts total number of all '*.py' files beginning from root folder, and shows 'tqdm' progress bar.",find / -name '*.py' -exec cat \{} \; | tqdm --unit loc --unit_scale True | wc -l
Search for files/directories with the case insensitive pattern anaconda* in /var/log,find /var/log/ -iname anaconda*
Search for regular expression 'expr' in all .c and .h files from the current directory tree,find -name '*.[ch]' | xargs grep -E 'expr'
"Find all files/directories in entire file system that have  ""write"" bit set for either the owner, the group, or others","find / -perm /u+w,g+w,o+w"
List every directory under current directory with their child executable files,find . -type d -print -exec bash -c 'find {} -type f -depth 1 -perm +0111 | sort -r' \;
"find all files in and under the current directory that have read, write and execute permissions set for all users.",find . -perm 777 -print
"Search all files in the current directory tree, except *.html and *.svn*, for ""SearchString""",find . ! -name '*.html' ! -name '*.svn*' -exec grep 'SearchString' {} /dev/null \;
"Find all files whose names end with ""~"" in the /home/peter directory tree, following symlinks, and delete them",find -L /home/peter -name *~ -exec rm '{}' \;
display all the text files in the current folder,find -name “*.txt”
Find recursively regular files in the current directory tree,find . -type f -print
Find all files under Mainfolder directory and redirect the output to outputfle,find Mainfolder -type f > outputfile
Find all files under /path and below writable by `group' and `other',"find /path -perm -g+w,o+w"
"search for the ip ""192.168.1.5"" in all the files in /etc folder","find /etc/ -iname ""*"" | xargs grep '192.168.1.5'"
Recursively prints .txt files in current directory,find $ -name \*.txt -print
Search directory tree $DIR for *.txt files,"find $DIR -name ""*.txt"""
display all the header files  and cpp files in the current folder,find \ -print
search for files which are writable by either their owner or their group,find . -perm /220
List all *fink* files/directories in entire file system,find / \( -type f -or -type d \) -name \*fink\* -ls
display all the statistics of the files in the current folder and discard the errors,find . -type f -exec stat {} \; > /dev/null
"Recursively copy all directories in ""/path/to/source"" to ""/path/to/dest/"" preserving directory hierarchy",find /path/to/source -type d | cpio -pd /path/to/dest/
search for a word in all the php files in the current folder and display the matching lines. PLus at the end takes multilple files as input,find . -name \*.php -type f -exec grep -Hn '$test' {} \+
search for text files in the folders /home/hobbes/ /home/calvin/,find /home/hobbes/ /home/calvin/ -name “*.txt”
"change the permissions of all the files ending with ""fits"" in the folder ""/store/01""","find /store/01 -name ""*.fits"" -exec chmod -x+r {} \; \"
Copy all files in current directory that do not match */exlude-path/* in their paths to /destination/ preserving directory structure,find . -type f -not -path '*/exlude-path/*' -exec cp --parents '{}' '/destination/' \;
Delete all .svn files/directories under current directory,find . -name .svn | xargs rm -fr
search for files having python in filename,find / -iname '*python*'
