bash_code,nl_command,srno
"#!/bin/bash

threshold=90
memory_usage=$(free | awk '/Mem/{print $3/$2 * 100.0}' | cut -d '.' -f1)
if [ ""$memory_usage"" -gt ""$threshold"" ]; then
    echo ""System memory usage exceeds $threshold%.""
    # Send alert here
fi",Create a script to monitor system memory usage and send an alert if it exceeds a certain threshold.,8575
find /tmp -user ian,Find files/directories that belong to user 'ian' under '/tmp' directory tree,8571
od -t fD file,"Display a dump of ""file"" as floating point values of double size",6591
split -b 1M -d  file.txt file,"Split ""file.txt"" into files of at most 1 MiB in size with a numeric suffix and prefix ""file""",3581
find /home -name Trash -exec rm {} \;,"remove all the files with the name ""Trash"" in the folder /home",4255
"read -t 3 -n 1 -p ""Is this a good question (y/n)? "" answer","Read a single character from standard input with prompt ""Is this a good question (y/n)? "" and timeout of 3 seconds and save the response to variable ""answer""",19402
cat /proc/17709/cmdline | xargs -0 echo,Print command line of process with pid 17709,18865
"cd `echo -n ""~""`","Go to directory named ""~""",7470
"find . -type f \! -iregex '.\|./.git' -exec perl -i'' -pe ""s/$1/$upper2/gi"" {} +",Find all files under current directory that match the case insensitive regex .\|./.git and replace  the text matching the case insensitive regex expanded by $1 with $upper2 in these files,20191
"find . -iname ""*linkin park*"" -exec cp -r {} /Users/tommye/Desktop/LP \;","Find all files and directories in the current directory tree with ""linkin park"" in their names and copy them to /Users/tommye/Desktop/LP",1195
"find . -name '*FoooBar*' | sed 's/.*/""&""/' | xargs cp ~/foo/bar",Find all *FooBar* files/directories under current directory and copy them to ~/foo/bar,13223
find /dev/sd*[a-z] -printf . | wc -c,Count the number of files in the directory trees whose pathnames match pattern '/dev/sd*[a-z]',14624
find /path -name file_name,"search for the file ""file_name"" in the folder /path",14713
"bind '""\e[24~"":""foobar""'","bind word ""foobar"" to key code ""\e[24~""",13489
/bin/true $,"Pass numbers 1 to 100000 as arguments to ""/bin/true""",10301
tac file | awk '/pattern/{print;exit}1' | tac,Print all lines from the last occurrence of the regex 'pattern' to the end of the file 'file',3976
"find . -name '*.c' -print0 |xargs -0 wc -l|grep -v total|awk '{ sum += $1; } END { print ""SUM: "" sum; }'",Prints total number of lines of all *.c files in a current folder and subfolders.,197
"find ./ -maxdepth 1 -name ""some-dir"" -type d -print0 | xargs -0r mv -t x/","find all the directories with the name ""some-dir"" in the current folder and move them to another folder and do not search in subfolders",1120
"echo ""dirname: `dirname $0`""",Prints folder where current script is located,13790
find /etc -exec grep '[0-9][0-9]*[.][0-9][0-9]*[.][0-9][0-9]*[.][0-9][0-9]*' {} \;,Scan every file in /etc for IPV4 addresses.,9413
find src/ -name '*.[ch]',Search the src/ directory recursively for .c and .h files,17373
"find $d -type d -exec chmod ug=rwx,o= '{}' \;","Set permissions to ug=rwx,o= for directories under the $d directory tree",16095
find -type f -exec du -Sh {} + | sort -rh | head -n 5,Find the 5 largest regular files in the current directory and below.,9527
DIR='find $HOME -type d -name $1 | head 1',search for a directory in a folder taking name as argument and assign the first instance of it to a variable,8011
find /TBD/* -mtime +1 | xargs rm -rf,Delete all files in the TBD directory that were modified more than 1 day ago,22027
uniq -c | sort -n | tail -n1,Print the line with most consecutive repeats prefixed with its count from standard input,6281
"find -type f -printf ""%s %p\n"" | sort -nr | head -n 4 | cut -d ' ' -f 2","Find all files under current directory with their size and paths, reverse sort them numerically, then print the 2nd field (with space as the delimiter) of the first 4 entries",7726
"#!/bin/bash

tar -czf backup.tar.gz directory
echo ""Backup created.""",Create a script to create a backup of a directory.,8311
"$ find . -name ""*mp3"" -print0 | xargs -0 mid3iconv -e EUR-KR -d",search for all the mp3 files in the current folder and change the character encoding of them to  EUR-KR,10728
find -name foo_bar,"Find all files named ""foo_bar"" in the current directory recursively",1589
find . -regex '.*\(net\|comm\).*',find all the files in the current folder which have the name net or comm in them,11994
find . -size 2000k,Find and show all files in the current directory tree that are exactly 2000 kB,8666
"find . -not -regex "".*test.*""",display all files in the current folder which do not match the regular expression,10088
find / -newer ttt -user wnj -print,Show the list of user wnj's files that are newer than file `ttt',1805
"find ""$DIR"" -type f -atime +5 -exec rm {} \;",Delete all files in directory $DIR that have not been accessed in at least 5 days,17476
find . -iname foo,"Search for all files and directories named foo, FOO, or any other combination of uppercase and lowercase characters beneath the current directory.",20834
| paste - - - | column -s'   ' -t,"Format ""input"" as alternating rows in a table",19913
"#!/bin/bash

ssh_status=$(systemctl is-active --quiet ssh)
if [ ""$ssh_status"" != ""active"" ]; then
    echo ""SSH server is down.""
    # Send alert here
fi",Create a script to monitor SSH server status and send an alert if the server is down.,6813
find . -type f -not -name '*txt' -print0 | xargs -0 rm --,"Remove all regular files from the current directory tree whose names do not end with ""txt""",23932
find . -type f -not -iwholename '*.git*' -print0 | xargs -0 perl -pi -e 's/ +$//',Remove trailing spaces from all files under current directory ignoring directories wtih *.git*  in their paths,17671
find /dir -newer yesterday.ref -a \! -newer today.ref -print,Find files/directories under '/dir' directory tree that are newer than 'yesterday.ref' file and older than 'today.ref' file by modification time,9053
seq 10 | sed '2~2G' | awk -v RS='' '{$1=$1; print}',Print numbers from 1 to 10 with 2 values per line,3656
find /tmp -type d -empty,Find all empty directories under /tmp,7168
"ssh -M -f -N -o ControlPath=""$SSHSOCKET"" ""$USER_AT_HOST""","Connect to host ""$USER_AT_HOST"" in master mode in the background without executing any commands and set the ControlPath to ""$SSHSOCKET""",20770
find . name *foo,Find all *foo files/directories under current directory,1777
find / -user roger -print,"find all the files in the entire file system which belong to the user ""roger""",18998
find /home -type f -name *.log -size +100M -exec rm -f {} \;,find all log files larger then 100MB  in /home directory and delete them .,24324
"find A \! -path ""A/a/*""",Find all files/directories under 'A' directory tree excluding the paths containing the directory 'a',6798
find . -type f -exec ls -al {} \; | sort -nr -k5 | head -n 25,find the top 25 files in the current directory and its subdirectories,16156
find / -mmin -30 -ls,Find all files recursively starting from / that have been modified in the past 30 minutes and list them,19740
rsync -a --include='*/' --exclude='*' source/ destination/,"Copy all directories recursively from ""source/"" to ""destination/"" excluding all files",6799
find / -maxdepth 3 -name passwd,Find the passwd file under root and two levels down,4465
gzip -dc archive.tar.gz | tar -xf - -C /destination,"Uncompress ""archive.tar.gz"" and extract the archive to ""/destination""",23807
find -name file -quit,"search for a file ""file"" in current folder and if the file is found quit !",20595
"watch 'echo -e ""\033[31mHello World\033[0m""'","Execute 'echo -e ""\033[31mHello World\033[0m""' every without color support 2 seconds",19685
find /apps -group accts -print,Find all files/directories that belong to the group 'accts' under '/apps' directory tree,286
"#!/bin/bash

num=16
sqrt=$(echo ""sqrt($num)"" | bc)
if [ ""$sqrt"" -eq ""${sqrt%.*}"" ]; then
    echo ""$num is a perfect square""
else
    echo ""$num is not a perfect square""
fi",Create a script to check if a number is a perfect square or not.,7607
"cd ""$""",Change directory to the alphabetically last path under the current directory,16889
"find -type f -name ""* *""",display all regular files in current folder which have spaces in their name,8957
"ls -1 | awk 'ORS="" ""'","Lists all files in a current folder, separating names with space.",22615
script.py $,search for all the directories in a folder and limit the search to current folder and give them as input to the python script,19354
"find /your/project -maxdepth 1 ! -name ""CONFIGFILE"" -exec ln -s \{\} ./ \;","Create symbolic links in the current directory for all files excluding ""CONFIGFILE"" located in ""/your/project""",6231
find test -type f  -size 0 -exec mv {} /tmp/zerobyte \;,Search for all zero-byte files and move them to the /tmp/zerobyte folder,23265
"find $DIR -name ""*.txt""",Search directory tree $DIR for *.txt files,550
"#!/bin/bash

threshold=""80""

sensors=$(sensors | grep -E 'Core|temp[0-9]' | awk '{print $2,$3}' | tr -d '+°C' | sed 's/°F/ F/g')

while read -r line; do
    value=$(echo ""$line"" | awk '{print $2}')
    if [ ""$value"" -gt ""$threshold"" ]; then
        echo ""Hardware sensor value exceeds threshold for root user: $line"" | mail -s ""Root Hardware Sensor Alert"" user@example.com
    fi

done <<< ""$sensors""",Create a script to monitor system root user hardware sensor values and send an alert if any values exceed a certain threshold.,24047
find / -name grub.conf,Find grub.conf files in entire file system,13496
DIR=`pwd`/`dirname $0`,"Save the current working directory and the directory name of the current script to variable ""DIR""",2910
"md5sum ""$source_file"" ""$dest_file""",Calculate md5 sum of files $source_file and $dest_file,11052
"man bash | less -Ip ""\\\'""","Display the 'bash' manpage, going to the first occurence of \' sequence of characters.",20939
find . -type d -ls | head,display long listing of first 10 directories in the current folder,23228
find -executable,Search the current directory tree for executable files and searchable directories,3049
find $HOME -newer ~joeuser/lastbatch.txt,find all the files in the home folder which have been modified after a file,19425
echo -n *Checking Partition Permission* Hostname=$(hostname) LastChecked=$(date),"Print ""*Checking Partition Permission* Hostname=$(hostname) LastChecked="" followed by the current date",11193
date --date @120024000,Format and print the time string @133986838 according to the default time format,3754
find . | grep FooBar | xargs -I{} cp {} ~/foo/bar,"Copies all files with ""FooBar"" in the path under the current directory to the '~/foo/bar' directory.",12155
"find . -name ""*.rb"" -or -name ""*.py""","Search the current directory tree for all files matching either pattern ""*.rb"" or pattern ""*.py""",17162
"awk '{print ""result ="",$0}' <","For each line in 'file', print ""result = "" followed by the line backwards.",4047
find . -type f | wc -l,Find all files under current directory and count the output line number,10756
