nl_cmd
"allow read for user, read for group, and read for others on file <file-name>"," chmod 444 <file-name>"
"assign none permission to user, read and execute permission to group, and read and execute permission to others for <directory-name>","chmod 055 <directory-name>"
"set permissions to none for owner, read and execute for group members, and read and execute for others on <directory-name>","chmod 055 <directory-name>"
"provide none for user, read and execute to group, and write and execute to others for <file-name>"," chmod 053 <file-name>"
"set permissions to none for owner, read and execute for group members, and write and execute for others on <directory-name>","chmod 053 <directory-name>"
"provide none for user, read and execute to group, and write and execute to others for <directory-name>","chmod 053 <directory-name>"
"set permissions to none for owner, read and execute for group members, and all for others on <file-name>"," chmod 057 <file-name>"
"grant none access for user, read and execute for group, and all to others for <directory-name>","chmod 057 <directory-name>"
"allow none for user, read and execute for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 057 <directory-name>"
"grant none access for user, read and execute for group, and none to others for <file-name>"," chmod 050 <file-name>"
"set permissions to none for owner, read and execute for group members, and none for others on <directory-name>","chmod 050 <directory-name>"
"set permissions to none for owner, read and execute for group members, and none for others on <directory-name>","chmod 050 <directory-name>"
"set permissions to none for owner, write and execute for group members, and read for others on <file-name>"," chmod 034 <file-name>"
"set permissions to none for owner, write and execute for group members, and read for others on <directory-name>","chmod 034 <directory-name>"
"provide none for user, write and execute to group, and read to others for <directory-name>","chmod 034 <directory-name>"
"set permissions to none for owner, write and execute for group members, and write for others on <file-name>"," chmod 032 <file-name>"
"allow none for user, write and execute for group, and write for others on directory/folder <directory-name>","chmod 032 <directory-name>"
"allow none for user, write and execute for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 032 <directory-name>"
